Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
100038,Balrampur Chini Mills Ltd.,BALRAMCHIN#,Balrampur Chini Mills Ltd.,Active,A ,1.00,INE119A01028,Sugar,Equity,-,Fast Moving Consumer Goods,-,-
100087,Cipla Ltd.,CIPLA#,"Cipla Ltd.,",Active,A ,2.00,INE059A01026, ,Equity,-,-,-,-
100101,Arvind Ltd.,ARVIND#,ARVIND Ltd,Active,A ,10.00,INE034A01011,Garments & Apparels,Equity,-,Textiles,-,-
100112,State Bank Of India,SBIN#,"State Bank Of India,",Active,A ,1.00,INE062A01020,Public Sector Bank,Equity,-,Financial Services,-,-
100210,Ingersoll-Rand (India) Ltd.,INGERRAND#,INGERSOL RND,Active,A ,10.00,INE177A01018,Compressors- Pumps & Diesel Engines,Equity,-,Capital Goods,-,-
100228,JSW Steel Limited,JSWSTEEL#,JSW SL,Active,A ,1.00,INE019A01038,Iron & Steel,Equity,-,Metals & Mining,-,-
100249,KSB LIMITED,KSB#,KSB LIMITED,Active,A ,2.00,INE999A01023,Compressors- Pumps & Diesel Engines,Equity,-,Capital Goods,-,-
100251,Trent Ltd [Lakme Ltd],TRENT#,TRENT,Active,A ,1.00,INE849A01020, ,Equity,-,-,-,-
100253,Lic Housing Finance Ltd.,LICHSGFIN#,Lic Housing Finance Ltd.,Active,A ,2.00,INE115A01026,Housing Finance Company,Equity,-,Financial Services,-,-
100266,Maharashtra Scooters Ltd.,MAHSCOOTER#,"Maharashtra Scooters Ltd.,",Active,A ,10.00,INE288A01013,Investment Company,Equity,-,Financial Services,-,-
100295,Vedanta Limited,VEDL#,Vedanta Limited,Active,A ,1.00,INE205A01025,Diversified Metals,Equity,-,Metals & Mining,-,-
100312,Oil And Natural Gas Corporation Ltd,ONGC#,Oil And Natural Gas Corporation Ltd,Active,A ,5.00,INE213A01029,Oil Exploration & Production,Equity,-,"Oil, Gas & Consumable Fuels",-,-
100330,Raymond Limited,RAYMOND#,RAYMOND LTD,Active,A ,10.00,INE301A01014,Residential- Commercial Projects,Equity,-,Realty,-,-
100390,Reliance Infrastructure Ltd,RELINFRA#,Reliance Infrastructure Ltd,Active,A ,10.00,INE036A01016,Integrated Power Utilities,Equity,-,Power,-,-
100405,Supreme Petrochem Ltd.,SPLPETRO#,Supreme Petrochem Ltd.,Active,A ,2.00,INE663A01033,Petrochemicals,Equity,-,Chemicals,-,-
100425,Ambuja Cements Ltd.,AMBUJACEM#,Ambuja Cements Ltd.,Active,A ,2.00,INE079A01024,Cement & Cement Products,Equity,-,Construction Materials,-,-
100440,Hindalco Industries Ltd.,HINDALCO#,Hindalco Industries Ltd.,Active,A ,1.00,INE038A01020,Aluminium,Equity,-,Metals & Mining,-,-
100463,BLACK BOX LIMITED,BBOX#,BLACK BOX LIMITED,Active,B ,2.00,INE676A01027,IT Enabled Services,Equity,-,Information Technology,-,-
100477,Ashok Leyland Ltd.,ASHOKLEY#,ASHOK LEYLND,Active,A ,1.00,INE208A01029,Commercial Vehicles,Equity,-,Capital Goods,-,-
100483,Tata Communications Limited,TATACOMM#,TATA COMM,Active,A ,10.00,INE151A01013,Telecom - Cellular & Fixed line services,Equity,-,Telecommunication,-,-
100547,Bharat Petroleum Corpn. Ltd.,BPCL#,BHARAT PETRO,Active,A ,10.00,INE029A01011,Refineries & Marketing,Equity,-,"Oil, Gas & Consumable Fuels",-,-
100620,Great Eastern Shipping Co. Ltd.,GESHIP#,"Great Eastern Shipping Co. Ltd.,",Active,A ,10.00,INE017A01032,Shipping,Equity,-,Services,-,-
100655,GARWARE HI-TECH FILMS LIMITED,GRWRHITECH#,GARWARE HI-TECH FILMS LIMITED,Active,A ,10.00,INE291A01017,Plastic Products - Industrial,Equity,-,Capital Goods,-,-
100674,Sanofi India Ltd,SANOFI#,Sanofi India Ltd,Active,A ,10.00,INE058A01010,Pharmaceuticals,Equity,-,Healthcare,-,-
100790,Nestle India Ltd.,NESTLEIND#,NESTLE LTD,Active,A ,1.00,INE239A01024,Packaged Foods,Equity,-,Fast Moving Consumer Goods,-,-
100850,Indian Hotels Co. Ltd,INDHOTEL#,Indian Hotels Co. Ltd,Active,A ,1.00,INE053A01029,Hotels & Resorts,Equity,-,Consumer Services,-,-
100878,Ceat Ltd.,CEATLTD#,"Ceat Ltd.,",Active,A ,10.00,INE482A01020,Tyres & Rubber Products,Equity,-,Automobile and Auto Components,-,-
105283,Kirloskar Pneumatic Co.Ltd.,KIRLPNU#,Kirloskar Pnuematic Co. Ltd.,Active,A ,2.00,INE811A01020,Compressors- Pumps & Diesel Engines,Equity,-,Capital Goods,-,-
105533,WESTLIFE FOODWORLD LIMITED,WESTLIFE#,WESTLIFE FOODWORLD LIMITED,Active,A ,2.00,INE274F01020,Restaurants,Equity,-,Consumer Services,-,-
105537,Zee Entertainment Enterprises Ltd.,ZEEL#,ZEE ENTER,Active,A ,1.00,INE256A01028,TV Broadcasting & Software Production,Equity,-,"Media, Entertainment & Publication",-,-
105700,Elecon Engineering Co.Ltd.,ELECON#,"Elecon Engineering Co.Ltd.,",Active,A ,1.00,INE205B01031,Industrial Products,Equity,-,Capital Goods,-,-
109488,Graphite India Ltd.,GRAPHITE#,Graphite India Ltd.,Active,A ,2.00,INE371A01025,Electrodes & Refractories,Equity,-,Capital Goods,-,-
111196,Can Fin Homes Ltd.,CANFINHOME#,CANFIN HOME,Active,A ,2.00,INE477A01020,Housing Finance Company,Equity,-,Financial Services,-,-
113377,MMTC Ltd.,MMTC#,"MMTC Ltd.,",Active,A ,1.00,INE123F01029,Trading & Distributors,Equity,-,Services,-,-
117146,Usha Martin Ltd.,USHAMART#,Usha Martin Ltd.,Active,A ,1.00,INE228A01035,Iron & Steel Products,Equity,-,Capital Goods,-,-
117334,Samvardhana Motherson International Limited,MOTHERSON#,Samvardhana Motherson International Limited,Active,A ,1.00,INE775A01035,Auto Components & Equipments,Equity,-,Automobile and Auto Components,-,-
117506,TTK Prestige Ltd.,TTKPRESTIG#,TTK PRESTIG,Active,A ,1.00,INE690A01028,Household Appliances,Equity,-,Consumer Durables,-,-
